Name,designation
Michael S. Dell,"Chairman of the Board, Chief Executive Officer"
Jeffrey W. Clarke,"Vice Chairman of the Board, Co-Chief Operating Officer"
Thomas W. Sweet,Chief Financial Officer
Howard D. Elias,"President - Services and Digital, Chief Customer Officer"
William F. Scannell,"President, Global Enterprise Sales and Customer Operations, Dell Technologies"
Anthony Charles Whitten,Co-Chief Operating Officer
Jennifer D. Saavedra,Chief Human Resource Officer
Allison Dew,Chief Marketing Officer
Richard J. Rothberg,General Counsel
Egon P. Durban,Director
Simon Patterson,Director
David W. Dorman,Independent Director
David J. Grain,Independent Director
William D. Green,Independent Director
Ellen J. Kullman,Independent Director
Lynn M. Vojvodich Radakovich,Independent Director
